,tweet,label
118,"Selamat pagi. Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran.",surprise
119,Yakaaannnn cempreng2nya kedengeran huhuhu takut man dimarahin nayah hahahahahah,fear
120,Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran,fear
121,"Syukur Doakan i pulak after this,aamiin",joy
122,"Yah kecewa, btw makasih udah respon!",sadness
123,Pasti dalam hati si abang ojol itu kesal sama ancaman mba n udh mikir yg buruk2 tentang si mba'nya... Tp stelah lihat polisi di ujung jalan pasti dia bersyukur banget krn mba udh cegah dia masuk jalur busway...,surprise
124,Kecewa mehong,sadness
125,"Peletku dahsyat juga ya ternyata, semua cewek bisa terpesona. Jadi bangga",surprise
126,"Wajahnya sedikit merah padam. Ia menahan marahnya. Entah kenapa ia tiba-tiba kesal saat mengingat cerita milik pemuda ini. Namun, wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya. Dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan.",anger
127,"Ada dua nikmat di mana manusia banyak tertipu karenanya, yaitu kesehatan dan waktu luang. (HR Bukhari)",surprise
128,"Udh muak bgt sama kalimat itu ewwwhhh. Bego aja si yg masi ngandelin tu kalimat wkwk. Kayak, liat aja itu twice, rv comeback lebih dr sekali setahun lagunya ngeboom aja kok, makin dikenal pula di Korea. Emg si waijing ni ganiat aja ngurus gg.",disgust
129,Yg saya heran diTV anak2 papua tdk nampak ya?? Yg sering muncul anak2 yawa sampe aceh sana... Mgkin anak2 papua tggl jauh2... Yaaa,surprise
130,sambal matahnya tidak pernah bikin kecewa Buk.,joy
131,"kangan terkejut, pemerintah sudah lama konyol, dewan perwakilan pun demikian.. coba merenung, terpilih saja kan mereka beli suara kita.. mentalitas itu yg kita pilih",surprise
132,"Ga cinta, ga benci, dan ga peduli",sadness
133,Asal Jan ikan tahu aja lah muak gue liatnya,disgust
134,Ini artinya Nelayan2 di Natuna bukan sj hrs mnghadapi Kapal2 illegal RRT..tapi jg berhadapan dgn Kapal2 ssama warga negara Ind. Dimanapun kapal2 besar tst beroperasi..Nelayan2 kecil yg akan sengsara seiring berkurangnya hasil ikan tangkapan.,anger
135,"Fiks, siapa pun kalian hati2 kalo kemana2. Gue cuma takut orang ini jahat sebenernya. Apalagi tatapannya bikin risih. Be safe, guys!",fear
136,"Mo tidur nangis, bangun nangis juga. Heran deh, ga capek apa.",sadness
137,Njirr kek brita duka,sadness
138,"Hai Kak, maaf banget nih bikin kamu cemas. Coba infoin nomor pesanan yang bermasalah tersebut ke DM yuk Kak biar mimin bantu cek. Ditunggu DM nya ^SA",fear
139,Boro2 ama atlet ama coach aja udah gugup wkwkwk,fear
140,Anet ayam berkokok pagi buta ni sumpah terkejut. Bunyi lain mcm sejak musim covid ni,surprise
141,Dia dah penat orang reply semua macam tak puas hati. Pastu dia reply apa yang dah dicopy paste,joy
142,Duh jd ngeri wkwkw,fear
143,HAHAHSJDKDKD TERKEJUT WOI,surprise
144,ISHH JIJIK KALI AKU .g,disgust
145,"Orang boleh bangga dengan web bagus biaya mahal ,tapi poinya ,seberapa banyakah produk kita terjual",joy
146,Heran sama orang yg bisa baca hati orang lain. Nasehat boleh. Hakimi jangan.,surprise
147,"""Mungkin aku tidak diperhitungkan. Tapi aku senang bersama dengan orang yang sangat bersemangat."" (Happy)",joy
148,pernah marah sm wlm...oh iya ofc gw jg prnh murka tp blm sempat gw ngomel2 eh bias gw udah pada hangout aja sm yeop wkwkwk jd yg kek hadeh gw udah mo marah2 bias gw digituin eh anaknya dah maen aja sm ceo nya yah ngabis2in waktu sm tenaga gw aja donk marah2 hahaha,anger
149,Berteman dengan 2 kepribadian sekaligus??? Kok bisa ajg? Heran !? Otak tanpa akhlak !!!,surprise
150,"Utk harapan kpd treasure, smoga ini jadi awalan yg baik n diterima lokal dan tentunya internasional. Yg pasti gw pribadi sangat terkejut dan respect kpd treasure ini pdhl blm resmi debut lo h tapi prestasi nya udh luar biasa",surprise
151,Kalo pun ada guenya malah risih. Malah nanti pasti ada masanya chat udah ga jadi prioritas yang penting sama2 tau tanggungjawab masing2 sama hubungan sih.,disgust
152,"soalnya aku suka ngigo kak, takut aja nanti tau-tau nyanyi michogane wkwk. pernah tau aku ngigo ""asahi ganteng banget"" adekku yang denger gitu kan",fear
153,"Susah banget ya jadi orng terkenal, takut bet if someday im being famous. Semua aib ku di masa lalu dibahas dan dikupas tuntas. My random thoughts dipagi ini",fear
154,TMI: Hibernasi 18 jam Puas banget hahahah. Jarang-jarang tidur lama. Tapi ada rasa nyeselnya juga sih liburan isinya cuma tidur doang,joy
155,Tertipu aku selama ni.rupanya covid 19 ni makhluk halus.,surprise
156,Saya murka,anger
157,"Risih2 jijik, gimana gituuu wkwk",disgust
158,Soto ngomong Karo wong gagal move on. Ngeyel.....kegedean benci... Kayaknya kurang kopi dan kurang belajar cinta,anger
159,Saya Heran. Anggota DPR RI DIAM saja Rakyat Sengsara. Ntar klo Rakyat MATEK smua. Klian sapa yg GAJI?.,sadness
160,Jijik sendiri gua liatnya,disgust
161,"Dorong LBP pimpin penjemputan warga RI di wuhan, ngeri ngeri sedap",fear
162,"Bibirku geter sendiri, aneh, semacam gugup",fear
163,Selang beberapa menit ada nomor baru nelpon. Aku angkat aja takutnya ada urusan penting Awal aku angkat si penelpon langsung gugup gitu,fear
164,"maklum,,,,grogi nya gugup nya 1/2 metong wkwkwk",fear
165,Hahahahahahaha bikin gugup gak tuh mbak mbaknya hahahhaha,fear
166,Sumpa aneh banget. Terakhir kali liat jin sampe terpesona w0w gitu 2013 jaman no more dream asli,surprise
167,Ingat senang ke nak wfh? Possibility untuk tertidur &amp; kena maki dengan boss esoknya memang tinggi kakaka,joy
168,Bucin tapi aku senang~~,joy
169,"Dkaruniai akal dan pikiran tolong tingkahnya djaga, heran bets sama warga yg bgni Ditegur, Pasutri Belanja Pakai Hazmat Sempat Ngeyel Bilang Begini",surprise
170,"Gotong royong aja semua rakyat, jangan nonton dagelan lagi cuma bikin muak doang! Rakyat butuh Sembako dan kesehatan bukan DARURAT SIPIL!!!",disgust
171,"Gue nonton ini berasa hidupnya ikutan sengsara juga, berat nder... Tapi gue kelarin sampe akhir",sadness
172,"Kalau terlepas, dan semangat tu sembunyi makin dalam. Berhenti lah sekejap, tarik nafas, berehat, kalau rasa nak nangis, nangislah selagi airmata kita mampu mengalir, dan bila rasa penat tu dah hilang. Teruskan lah mencari semangat tu. Jangan mengalah.",joy
173,Tergantung mood si klo kata aku aku kadang risih cowo yg bls cepet2 tp giliran dia ngilang trs lama bls aku suka kesel jg knp yyyh aku,disgust
174,iyanih jijik dahh,disgust
175,"7. agak risih sih , cuma ya klu emg ngeluh gtu paling ngasih semangat aja.",disgust
176,Untill tomorrow itu artinya (sampe besok) gua ngeri banget yang ikutan umurnya ampe besok karena omongan adalah doa...,fear
177,"gmn mau cari topik noon, saya gugup duluan -_-",fear
178,"Ya sudahlah, terima sj lh putusannya,biar lutfi dn keluarga tenang dan bisa beraktifitas kembali. Intinyakan kita semua sdh faham apa yg terjadi. Biarlah sang maha adil kelak yg memberinya keadilan. Berharap pada manusia, pasti kecewa. Smga dukungan kpda lutfi bs dlm bentuk lain.",sadness
179,"-Sampe dirumah- Me : *cerita ke mama* Mama : ""Bilang lah ke papa gih, paling dek ayu dimarahin"" Me : *cemas* Me : ""Paaaa..."" Papa : ""Yaaa..??"" Me : hehehe *ketawa dulu biar rilex"" Papa : ""???"" Me : ""Mobil baret bagian pintu kiri, ga sengaja nyerempet dinding pas mau belok""",fear
180,See bic . Boleh punye untuk tidak semput dan kecewa,sadness
181,Takutt wkwk,fear
182,Iyaaa wkwkw itu yg bikin kita tertipu,joy
183,terkejut aku. Babi betul lah,surprise
184,Gajian kudu nunggu tanggal 1 bae heran guamah dah -_-,surprise
185,Wkwkwk twt murka dgn kao mungkin wkwkwk,joy
186,"terlalu semangat gasabar pingin bikin kamutu kesal lagi eaa.. tapi stock masik sekilo, uda aman dari begal sualnya.. jajaja",anger
187,"wkwk itu ga tepat sih tapi artinya ya sama aja kalo ku panggilin tukang santet juga SMA ini, gaya banget mau duit banyak tapi kelakuan kayak gitu cil(acilaman/tante wkwk), muka kamu mau ditaroh dimana sih dasar goblok sangkal itu=kesal wkwkwk",anger
188,"Nggak usah berharap, karena akan buat kecewa, memang begitulah keadaan negeri kita saat ini",sadness
189,"Smoker ""Jangan tertipu oleh penampilan luar saja.",surprise
190,"OP yang hadir ke terpesona dengan vokalnya Seokjin, dengan rambutnya yang disisir ke belakang dan memakai silk blouse",surprise
191,Di DM yah...tapi kamu jangan jijik ya. Biasa aja ekspresi ny,disgust
192,Muka Pete wentz macam muka hantu* Saya benci Pete*,anger
193,Penat Penyesal Kecewa Gagal,sadness
194,pernah dipeluk tapi kok malah risih,disgust
195,"Ada seorang senior engineer Twitter bernama John, yang mudah tersinggung Namun Herman asyik maki John, kantoi lettew",anger
196,"Percuma kalian ngejelekin satu sama lain di depan saya, buat apa sih? Toh nggak bakal terpengaruh, bakalan aku pantau sambil ngeteh nggak perlu lah sampe bilang ini itu, risih dengernya.",disgust
197,Dokter Tirta Siapa sebenarnya beliau? Ayo... Semoga Allah Selamatkan kita dari berburuksangka ataupun tertipu.,surprise
198,PACAR SAYA BANYAK. CEWEK SEMUA! PUAS?,anger
199,"tah la sab, macam macam dugaan, penat",disgust
200,terpesona sih sbnernya ea,surprise
201,"Yang bikin kesal, tak kira abis bimbingan dibuka, ternyata tidak",anger
202,Kudune tuhan e yo mbok benci jg,anger
203,"judge seseorang sekasar apapun.judge seseorang sebenci apapun.if ure feeling said ""still loving"" akan diterima sih ya logicnya wlaupun sedikit gengsi or jaim.kebukti semuanya?atau ga ya?oke kita tunggu moment jijik ini WKwkwkwkwkwkwkwkwkwk",disgust
204,Ken2 gwh sih saran aja ye ko lebih senang negara RI dijajah asing &amp; aseng apa lebih suka damai??? Mendingan gak mancing2 amarah sesama anak bangsa Kecuali kalian emang suka banget dijajah,joy
205,"Yash. Tiap ketrigger, demonnya bangun. Rasa ga berharga dan ga layak dicintainya bikin jijik sama diri sendiri. Tapi pasti bisa berdamai sama semua ini.",disgust
206,Benda ni la yg paling takut,fear
207,"Insyallah....mampu dan hrs buang rasa benci,amarah apapun itu",joy
208,yaallah gua ngetawain ini kenceng bgt sampe mak gua murka trs nyuruh nonton dikebon aja,joy
209,ngapain pake muak suami aku maksutnya.,disgust
210,"Dia kn duta dpr di medsos... Nth apa dlu yg merasuki pemilih dia. Jijik x pun. Suka pake alhamdulillah, insya allah tpi... Au ah gelap.",anger
211,"2 akun demen caper wkwk Gak usah terlalu percaya, takutnya malah bikin kecewa, fokus nabung aja toh kalo emang beneran bighit juga ngasih info kok",sadness
212,makanya.. akupun heran. mimpi makan bareng doooongg,surprise
213,"Jadi yaa~ aku coba untuk berubah buat ko gakk kesal lagi sama sifatku dan semuanya, dan itu untuk semuanya juga kok. Aku tau sifatku itu bangsat, kurang ajar dan sejenisnya. Aku akui itu memang benar kok.",anger
214,Sebenernya mamaku risih gak sih hampir tiap hari aku pelukin gitu?,disgust
215,"need to go to the gym ASAP, gue udah mulai sedih gajelas. Gym udah kayak obat penenang buat gue, prioritas utamanya sekarang bukan untuk bikin badan bagus tapi mencari kebahagian. Serius, gue lagi cardio aja bisa ketawa karna kesenangan. Mungkin karna kelebihan hormon endorfin",sadness
216,"iseng kok,ya nyantai aja kalau ada yang mau syukur ngga ya coba lagi haha",joy
217,Heran wkwk,joy
218,Penat badan tk hilang lg,disgust
219,"lisa ni pas jadi mentor terus ngoreksi trainees serem amat bangsat, aku ngeri. mukanya datar, gatau salah apa ngga.",fear
220,"Udh bermasalah kok masih bangga, dasar tidak punya malu....",sadness
221,"Kirekire 2bln lalu, orgtua manten dtg beli baju sekolah untuk anaknya. Teruuuus saya gugup saat menjualnya, gugup rindu sama anaknya hhh",fear
222,tapii aku tidakk islammphobia kaya org openminded lainnyaaa (mrsa bangga),joy
223,Kalo sengsara gegara ga bisa nyolong jgn curhat Mulu ... Ngenes,sadness
224,"udh kali mba. org dibilang jg tweet iseng jaman kecil, masih diseriusin aja. chill dikit napa deh heran",surprise
225,sama gue heran banget.,surprise
226,"Penat woiiiiiii hidupppppp camnii,",disgust
227,Syukur deh buruan....,joy
228,"Aku suka sate madura pake bgt, Tapi suka juga kuah bakso Tapi bucin martabak telor Tergila gila sama nasi kuning Dan setiap pagi minum kopi sampeee muak :'((",joy
229,Semuanya duka ga ada suka,sadness
230,"Aku yg pribumi dukung pakde Jokowi juga makin enak skrg, lebih baik hidup ku karena setiap tahun ada peningkatan kehidupan. Elu doang yg sengsara lalu bandingin sama cina sgala.. Makanya bersyukur sama Tuhan spy hidup lebih nikmat",anger
231,"Seriusan ini mah ga usah drama, heran masih ada aja org yg ga suka sama heenim tuh knp gt",surprise
232,"Oke stop bahas soal cinta2an, muak aing. Back to reality. Temen gua dulu juga ada yang pernah nyinyirin pekerjaan ojol. ""ganteng ganteng ntar eh taunya jadi ojol doang HAHAHAH"" ""bapak bapak ojolnya tadi rese banget dah anjir, gua kasih bintang 1 aja""",disgust
233,pagi lagi dah menitik air mata tengok hi bye mama ni weh. kisah hantu dia semua sedih,sadness
234,aku bangga kenalan ama bundarita yg soleh .. Amin,joy
235,Jijik bgt ada yg gambar beginian,disgust
236,"Nah terus sampai dirumah aku membagikan ceritaku lewat instagram story. Yaa seperti biasa, apapun yang menambah rasa syukur dan energi positif selalu aku bagikan ceritanya",joy
237,makan hati la penat baru habis shift 11 tadi nasib manager aku bagi balik awal.. fuh kecut jari lemah lutut aku sejam cuci pinggan kotoq,disgust
238,Bikin Senang.,joy
239,"Terakhir dpt tip kek gitu, malam tahun baru, dan itu mba nya ga berani Pulang depan rumah Takut ketauan suami, jadi di Gang sebelah sambil terburu""takut di Marah in gara gara malam tahun baruan ama temenya wwkwkw",fear
240,Maybe orang yang snap tu terkejut or ianya ss dari video yang dia ambik untuk tengok apa ada dalam rumah tu.,surprise
241,BARU BANGET MINGGU KEMARIN !!! Adek gw minta beliin LKS kimia di Gramedia butuh besok baru bilang jam 20.40. Gimana gw kaga murka apa dikira nyarinya gampang. Eh pas sampe gramed bukannya nanya ama karyawannya malah bengong !!! Rasanya pengen tak pukulin di gramed,anger
242,Iya atau jijik ini?,disgust
243,"Nah ini, kgak pernah ditembak cowo kali ya makanya nggak tau klo dating itu pasti sama2 mau. Tak da otak, kesal",anger
244,MALU MALU IN BANGET HIDUP LO JIR,sadness
245,but the first video terkejut sia no pls bye,surprise
246,babi terkejut aku,surprise
247,Emg ya manusia terlalu banyak expect giliran ga kesampean kecewa minta ampun,sadness
248,Gue pernah ngomong begini dan satu mobil berisi tante-tante langsung murka,surprise
249,Biar tmn2 bingung harus ketawa apa sedih,sadness
250,"Aamiin Yaa Rabbal'aalamiin Tiada hari tanpa pagi , tiada kebahagiaan di pagi hari , jika tanpa senyum darimu akhy Dan bersyukur lah dgn mengucap syukur kepada Ilahi Assalamu'alaikum sahabatku Salam Jumat Berkah",joy
