text,emotion
Spine-chilling,takut
Blood-curdling,takut
Terrifying experience,takut
Frightening sekali,takut
Scared to death,takut
Ketakutan setengah mati,takut
Teror menghantui,takut
Bahaya mengancam,takut
Risiko besar,takut
Unsafe rasanya,takut
Vulnerable sekali,takut
Defenseless,takut
Powerless menghadapinya,takut
Insecure perasaanku,takut
Menjijikkan sekali perilaku seperti itu,jijik
Geli dan jijik lihat yang begitu,jijik
Ih najis banget deh enggak suka,jijik
Jorok banget ya ampun bikin ilfeel,jijik
Enek banget deh lihatnya,jijik
Bau dan menjijikkan sekali,jijik
Mual lihat pemandangan seperti itu,jijik
Menjijikkan tidak bisa ditolerir,jijik
Jorok ih menjijikkan banget,jijik
Kotor dan menjijikkan,jijik
Ih gross banget,jijik
Muak banget ngeliatnya,jijik
Jijay banget deh,jijik
Gimana sih kotor banget,jijik
Ih serem jorok banget,jijik
Nauseating banget,jijik
Disgusting tingkat dewa,jijik
Menjijikkan luar biasa,jijik
Gak tahan liatnya,jijik
Bikin ilfil parah,jijik
Repulsive banget,jijik
Revolting sekali,jijik
Abominable,jijik
Detestable,jijik
Appalling sight,jijik
Hideous sekali penampilannya,jijik
Unsightly banget,jijik
Ghastly,jijik
Grisly scene,jijik
Rancid baunya,jijik
Busuk menjijikkan,jijik
Awful banget,jijik
Horrible pemandangannya,jijik
Terrible kondisinya,jijik
Vile sekali,jijik
Nasty banget,jijik
Foul baunya,jijik
Filthy kotor banget,jijik
Sickening display,jijik
Nauseated jadinya,jijik
Wow! Saya tidak menyangka hal ini bisa terjadi,terkejut
Astaga sungguh mengejutkan,terkejut
Lho kok bisa tidak terduga sama sekali,terkejut
Ya ampun kaget mendadak banget,terkejut
Wah gila beneran kejadian,terkejut
Astagfirullah kaget banget tiba-tiba,terkejut
Oh my god tidak percaya ini nyata,terkejut
Heboh banget kabar mengejutkan ini,terkejut
Kagum sekaligus terkejut,terkejut
Wah gak nyangka banget,terkejut
Kaget poll mendadak gini,terkejut
Surprise banget sih ini,terkejut
Unexpected banget deh,terkejut
Shocking news banget,terkejut
Tiba-tiba banget bikin kaget,terkejut
Speechless gak percaya,terkejut
Melongo kaget,terkejut
Tercengang mendengarnya,terkejut
Terperanjat kaget,terkejut
Terpana melihatnya,terkejut
Mind-blowing,terkejut
Jaw-dropping,terkejut
Eye-opening,terkejut
Bewildering,terkejut
Astonishing,terkejut
Startling news,terkejut
Astounding,terkejut
Staggering,terkejut
Breathtaking revelation,terkejut
Phenomenal,terkejut
Unbelievable kejadiannya,terkejut
Incredible banget,terkejut
Remarkable peristiwa,terkejut
Extraordinary sekali,terkejut
Sensational pemberitaannya,terkejut
Dramatic banget,terkejut
Spectacular hasilnya,terkejut
Fantastis kejadiannya,terkejut
Miraculous banget,terkejut
Sudden banget datangnya,terkejut
Biasa saja tidak ada yang spesial hari ini,netral
Ya sudah biasa aja,netral
Oke deh tidak masalah,netral
Ya gitu deh apa adanya,netral
Biasa kok gapapa,netral
Netral saja tidak ada perasaan khusus,netral
Standar tidak istimewa,netral
Datar-datar saja responku,netral
Ya biasa lah namanya juga hidup,netral
Begitulah adanya,netral
Seperti biasa tidak ada yang baru,netral
Standard aja sih,netral
Biasa banget,netral
Flat aja responsnya,netral
Nothing special,netral
Mediocre aja,netral
So-so lah,netral
Lumayan aja,netral
Gitu-gitu aja,netral
Plain vanilla,netral
Ordinary aja,netral
Mundane,netral
Routine activity,netral
Regular day,netral
Common occurrence,netral
Typical situation,netral
Average performance,netral
Normal circumstances,netral
Conventional approach,netral
Unremarkable,netral
Okay sih,netral
Baik-baik saja,netral
Tidak apa-apa,netral
Cukup,netral
Memadai,netral
Wajar saja,netral
Biasa-biasa saja,netral
Tidak istimewa,netral
Tidak buruk tidak bagus,netral
Sedang-sedang saja,netral
